Wert,Jahr,Kernkraftwerk,Erzeugung/ Arbeitsausnutzung
85.1,1998,Leibstadt,Arbeitsausnutzung in %
23523,1999,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
86.2,1999,Kernkraftwerke - Total,Arbeitsausnutzung in %
2810,1999,Beznau I,Elektrizitätserzeugung in GWh
88.4,1999,Beznau I,Arbeitsausnutzung in %
2210,1999,Beznau II,Elektrizitätserzeugung in GWh
70.7,1999,Beznau II,Arbeitsausnutzung in %
2712,1999,Mühleberg,Elektrizitätserzeugung in GWh
87.2,1999,Mühleberg,Arbeitsausnutzung in %
7468,1999,Gösgen,Elektrizitätserzeugung in GWh
88.6,1999,Gösgen,Arbeitsausnutzung in %
8323,1999,Leibstadt,Elektrizitätserzeugung in GWh
88,1999,Leibstadt,Arbeitsausnutzung in %
24949,2000,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
89.1,2000,Kernkraftwerke - Total,Arbeitsausnutzung in %
2503,2000,Beznau I,Elektrizitätserzeugung in GWh
78.5,2000,Beznau I,Arbeitsausnutzung in %
3048,2000,Beznau II,Elektrizitätserzeugung in GWh
95.1,2000,Beznau II,Arbeitsausnutzung in %
2829,2000,Mühleberg,Elektrizitätserzeugung in GWh
90.7,2000,Mühleberg,Arbeitsausnutzung in %
7744,2000,Gösgen,Elektrizitätserzeugung in GWh
91.7,2000,Gösgen,Arbeitsausnutzung in %
8825,2000,Leibstadt,Elektrizitätserzeugung in GWh
87.7,2000,Leibstadt,Arbeitsausnutzung in %
25293,2001,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
90.3,2001,Kernkraftwerke - Total,Arbeitsausnutzung in %
3062,2001,Beznau I,Elektrizitätserzeugung in GWh
96.1,2001,Beznau I,Arbeitsausnutzung in %
2559,2001,Beznau II,Elektrizitätserzeugung in GWh
79.8,2001,Beznau II,Arbeitsausnutzung in %
2778,2001,Mühleberg,Elektrizitätserzeugung in GWh
89.1,2001,Mühleberg,Arbeitsausnutzung in %
7804,2001,Gösgen,Elektrizitätserzeugung in GWh
92.4,2001,Gösgen,Arbeitsausnutzung in %
9090,2001,Leibstadt,Elektrizitätserzeugung in GWh
90.4,2001,Leibstadt,Arbeitsausnutzung in %
