Value,Jahr,Primärenergieträger,Einheit
-580,1914,Elektrizität Import / Export-Saldo,In TJ
-0.48596564725597,1914,Elektrizität Import / Export-Saldo,Anteil in %
119350,1914,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1914,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
14930,1915,Holz und Holzkohle,In TJ
12.58959440087697,1915,Holz und Holzkohle,Anteil in %
8100,1915,Wasserkraft,In TJ
6.830255502150266,1915,Wasserkraft,Anteil in %
"""...""",1915,Müll und Industrieabfälle,In TJ
"""...""",1915,Müll und Industrieabfälle,Anteil in %
96070,1915,Kohle,In TJ
81.01020322118222,1915,Kohle,Anteil in %
500,1915,Rohöl und Erdölprodukte,In TJ
0.421620710009276,1915,Rohöl und Erdölprodukte,Anteil in %
"""...""",1915,Gas,In TJ
"""...""",1915,Gas,Anteil in %
"""...""",1915,Kernbrennstoffe,In TJ
"""...""",1915,Kernbrennstoffe,Anteil in %
"""...""",1915,Übrige erneuerbare Energien,In TJ
"""...""",1915,Übrige erneuerbare Energien,Anteil in %
119600,1915,Gesamter Energieeinsatz,In TJ
100.8516738342187,1915,Gesamter Energieeinsatz,Anteil in %
-1010,1915,Elektrizität Import / Export-Saldo,In TJ
-0.851673834218737,1915,Elektrizität Import / Export-Saldo,Anteil in %
118590,1915,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1915,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
12590,1916,Holz und Holzkohle,In TJ
11.15047382871313,1916,Holz und Holzkohle,Anteil in %
8820,1916,Wasserkraft,In TJ
7.811531308121513,1916,Wasserkraft,Anteil in %
"""...""",1916,Müll und Industrieabfälle,In TJ
"""...""",1916,Müll und Industrieabfälle,Anteil in %
92390,1916,Kohle,In TJ
81.82623328314587,1916,Kohle,Anteil in %
180,1916,Rohöl und Erdölprodukte,In TJ
0.159419006288194,1916,Rohöl und Erdölprodukte,Anteil in %
"""...""",1916,Gas,In TJ
"""...""",1916,Gas,Anteil in %
"""...""",1916,Kernbrennstoffe,In TJ
"""...""",1916,Kernbrennstoffe,Anteil in %
"""...""",1916,Übrige erneuerbare Energien,In TJ
"""...""",1916,Übrige erneuerbare Energien,Anteil in %
113980,1916,Gesamter Energieeinsatz,In TJ
100.9476574262687,1916,Gesamter Energieeinsatz,Anteil in %
-1070,1916,Elektrizität Import / Export-Saldo,In TJ
-0.94765742626871,1916,Elektrizität Import / Export-Saldo,Anteil in %
112910,1916,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1916,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
13580,1917,Holz und Holzkohle,In TJ
13.86846405228758,1917,Holz und Holzkohle,Anteil in %
9720,1917,Wasserkraft,In TJ
9.926470588235294,1917,Wasserkraft,Anteil in %
"""...""",1917,Müll und Industrieabfälle,In TJ
"""...""",1917,Müll und Industrieabfälle,Anteil in %
75450,1917,Kohle,In TJ
77.05269607843137,1917,Kohle,Anteil in %
310,1917,Rohöl und Erdölprodukte,In TJ
0.316584967320261,1917,Rohöl und Erdölprodukte,Anteil in %
"""...""",1917,Gas,In TJ
"""...""",1917,Gas,Anteil in %
"""...""",1917,Kernbrennstoffe,In TJ
"""...""",1917,Kernbrennstoffe,Anteil in %
"""...""",1917,Übrige erneuerbare Energien,In TJ
"""...""",1917,Übrige erneuerbare Energien,Anteil in %
99060,1917,Gesamter Energieeinsatz,In TJ
101.1642156862745,1917,Gesamter Energieeinsatz,Anteil in %
-1140,1917,Elektrizität Import / Export-Saldo,In TJ
-1.16421568627451,1917,Elektrizität Import / Export-Saldo,Anteil in %
97920,1917,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1917,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
18330,1918,Holz und Holzkohle,In TJ
18.68692017534917,1918,Holz und Holzkohle,Anteil in %
10620,1918,Wasserkraft,In TJ
10.82679172188806,1918,Wasserkraft,Anteil in %
"""...""",1918,Müll und Industrieabfälle,In TJ
"""...""",1918,Müll und Industrieabfälle,Anteil in %
70020,1918,Kohle,In TJ
71.38342338668569,1918,Kohle,Anteil in %
300,1918,Rohöl und Erdölprodukte,In TJ
0.305841574064635,1918,Rohöl und Erdölprodukte,Anteil in %
"""...""",1918,Gas,In TJ
"""...""",1918,Gas,Anteil in %
"""...""",1918,Kernbrennstoffe,In TJ
"""...""",1918,Kernbrennstoffe,Anteil in %
"""...""",1918,Übrige erneuerbare Energien,In TJ
"""...""",1918,Übrige erneuerbare Energien,Anteil in %
99270,1918,Gesamter Energieeinsatz,In TJ
101.2029768579876,1918,Gesamter Energieeinsatz,Anteil in %
-1180,1918,Elektrizität Import / Export-Saldo,In TJ
-1.202976857987562,1918,Elektrizität Import / Export-Saldo,Anteil in %
98090,1918,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1918,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
19750,1919,Holz und Holzkohle,In TJ
23.84113954611299,1919,Holz und Holzkohle,Anteil in %
10440,1919,Wasserkraft,In TJ
12.60260743602125,1919,Wasserkraft,Anteil in %
"""...""",1919,Müll und Industrieabfälle,In TJ
"""...""",1919,Müll und Industrieabfälle,Anteil in %
53180,1919,Kohle,In TJ
64.19604056011589,1919,Kohle,Anteil in %
640,1919,Rohöl und Erdölprodukte,In TJ
0.772573635924674,1919,Rohöl und Erdölprodukte,Anteil in %
"""...""",1919,Gas,In TJ
"""...""",1919,Gas,Anteil in %
"""...""",1919,Kernbrennstoffe,In TJ
"""...""",1919,Kernbrennstoffe,Anteil in %
"""...""",1919,Übrige erneuerbare Energien,In TJ
"""...""",1919,Übrige erneuerbare Energien,Anteil in %
84010,1919,Gesamter Energieeinsatz,In TJ
101.4123611781748,1919,Gesamter Energieeinsatz,Anteil in %
-1170,1919,Elektrizität Import / Export-Saldo,In TJ
-1.412361178174795,1919,Elektrizität Import / Export-Saldo,Anteil in %
82840,1919,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1919,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
17490,1920,Holz und Holzkohle,In TJ
17.79428222606573,1920,Holz und Holzkohle,Anteil in %
10080,1920,Wasserkraft,In TJ
10.25536677179774,1920,Wasserkraft,Anteil in %
"""...""",1920,Müll und Industrieabfälle,In TJ
"""...""",1920,Müll und Industrieabfälle,Anteil in %
70220,1920,Kohle,In TJ
71.44165225353545,1920,Kohle,Anteil in %
1860,1920,Rohöl und Erdölprodukte,In TJ
1.892359344796012,1920,Rohöl und Erdölprodukte,Anteil in %
"""...""",1920,Gas,In TJ
"""...""",1920,Gas,Anteil in %
"""...""",1920,Kernbrennstoffe,In TJ
"""...""",1920,Kernbrennstoffe,Anteil in %
"""...""",1920,Übrige erneuerbare Energien,In TJ
"""...""",1920,Übrige erneuerbare Energien,Anteil in %
99650,1920,Gesamter Energieeinsatz,In TJ
101.3836605961949,1920,Gesamter Energieeinsatz,Anteil in %
-1360,1920,Elektrizität Import / Export-Saldo,In TJ
-1.383660596194933,1920,Elektrizität Import / Export-Saldo,Anteil in %
98290,1920,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1920,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
16760,1921,Holz und Holzkohle,In TJ
20.68114511352419,1921,Holz und Holzkohle,Anteil in %
9540,1921,Wasserkraft,In TJ
11.77196446199408,1921,Wasserkraft,Anteil in %
"""...""",1921,Müll und Industrieabfälle,In TJ
"""...""",1921,Müll und Industrieabfälle,Anteil in %
54570,1921,Kohle,In TJ
67.33711747285291,1921,Kohle,Anteil in %
1350,1921,Rohöl und Erdölprodukte,In TJ
1.665844027640671,1921,Rohöl und Erdölprodukte,Anteil in %
"""...""",1921,Gas,In TJ
"""...""",1921,Gas,Anteil in %
"""...""",1921,Kernbrennstoffe,In TJ
"""...""",1921,Kernbrennstoffe,Anteil in %
"""...""",1921,Übrige erneuerbare Energien,In TJ
"""...""",1921,Übrige erneuerbare Energien,Anteil in %
82220,1921,Gesamter Energieeinsatz,In TJ
101.4560710760119,1921,Gesamter Energieeinsatz,Anteil in %
-1180,1921,Elektrizität Import / Export-Saldo,In TJ
-1.456071076011846,1921,Elektrizität Import / Export-Saldo,Anteil in %
81040,1921,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1921,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
18990,1922,Holz und Holzkohle,In TJ
19.67875647668394,1922,Holz und Holzkohle,Anteil in %
10800,1922,Wasserkraft,In TJ
11.19170984455959,1922,Wasserkraft,Anteil in %
"""...""",1922,Müll und Industrieabfälle,In TJ
"""...""",1922,Müll und Industrieabfälle,Anteil in %
65730,1922,Kohle,In TJ
68.11398963730569,1922,Kohle,Anteil in %
2650,1922,Rohöl und Erdölprodukte,In TJ
2.746113989637306,1922,Rohöl und Erdölprodukte,Anteil in %
"""...""",1922,Gas,In TJ
"""...""",1922,Gas,Anteil in %
"""...""",1922,Kernbrennstoffe,In TJ
"""...""",1922,Kernbrennstoffe,Anteil in %
"""...""",1922,Übrige erneuerbare Energien,In TJ
"""...""",1922,Übrige erneuerbare Energien,Anteil in %
98170,1922,Gesamter Energieeinsatz,In TJ
101.7305699481865,1922,Gesamter Energieeinsatz,Anteil in %
-1670,1922,Elektrizität Import / Export-Saldo,In TJ
-1.730569948186528,1922,Elektrizität Import / Export-Saldo,Anteil in %
96500,1922,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1922,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
21880,1923,Holz und Holzkohle,In TJ
18.7296695771272,1923,Holz und Holzkohle,Anteil in %
11880,1923,Wasserkraft,In TJ
10.16949152542373,1923,Wasserkraft,Anteil in %
"""...""",1923,Müll und Industrieabfälle,In TJ
"""...""",1923,Müll und Industrieabfälle,Anteil in %
81870,1923,Kohle,In TJ
70.08217770929636,1923,Kohle,Anteil in %
3070,1923,Rohöl und Erdölprodukte,In TJ
2.627974661872967,1923,Rohöl und Erdölprodukte,Anteil in %
"""...""",1923,Gas,In TJ
"""...""",1923,Gas,Anteil in %
"""...""",1923,Kernbrennstoffe,In TJ
"""...""",1923,Kernbrennstoffe,Anteil in %
"""...""",1923,Übrige erneuerbare Energien,In TJ
