Value,Jahr,Primärenergieträger,Einheit
139760,1933,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1933,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
19060,1934,Holz und Holzkohle,In TJ
13.48425893172975,1934,Holz und Holzkohle,Anteil in %
19300,1934,Wasserkraft,In TJ
13.65405022992572,1934,Wasserkraft,Anteil in %
"""...""",1934,Müll und Industrieabfälle,In TJ
"""...""",1934,Müll und Industrieabfälle,Anteil in %
90880,1934,Kohle,In TJ
64.29430491687302,1934,Kohle,Anteil in %
16340,1934,Rohöl und Erdölprodukte,In TJ
11.55995755217545,1934,Rohöl und Erdölprodukte,Anteil in %
"""...""",1934,Gas,In TJ
"""...""",1934,Gas,Anteil in %
"""...""",1934,Kernbrennstoffe,In TJ
"""...""",1934,Kernbrennstoffe,Anteil in %
"""...""",1934,Übrige erneuerbare Energien,In TJ
"""...""",1934,Übrige erneuerbare Energien,Anteil in %
145580,1934,Gesamter Energieeinsatz,In TJ
102.9925716307039,1934,Gesamter Energieeinsatz,Anteil in %
-4230,1934,Elektrizität Import / Export-Saldo,In TJ
-2.992571630703926,1934,Elektrizität Import / Export-Saldo,Anteil in %
141350,1934,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1934,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
19830,1935,Holz und Holzkohle,In TJ
14.03993203058624,1935,Holz und Holzkohle,Anteil in %
20940,1935,Wasserkraft,In TJ
14.82582837723025,1935,Wasserkraft,Anteil in %
"""...""",1935,Müll und Industrieabfälle,In TJ
"""...""",1935,Müll und Industrieabfälle,Anteil in %
89210,1935,Kohle,In TJ
63.16199376947041,1935,Kohle,Anteil in %
16350,1935,Rohöl und Erdölprodukte,In TJ
11.57604078164826,1935,Rohöl und Erdölprodukte,Anteil in %
"""...""",1935,Gas,In TJ
"""...""",1935,Gas,Anteil in %
"""...""",1935,Kernbrennstoffe,In TJ
"""...""",1935,Kernbrennstoffe,Anteil in %
"""...""",1935,Übrige erneuerbare Energien,In TJ
"""...""",1935,Übrige erneuerbare Energien,Anteil in %
146330,1935,Gesamter Energieeinsatz,In TJ
103.6037949589351,1935,Gesamter Energieeinsatz,Anteil in %
-5090,1935,Elektrizität Import / Export-Saldo,In TJ
-3.603794958935146,1935,Elektrizität Import / Export-Saldo,Anteil in %
141240,1935,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1935,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
18100,1936,Holz und Holzkohle,In TJ
12.69373728872993,1936,Holz und Holzkohle,Anteil in %
22220,1936,Wasserkraft,In TJ
15.58314047268392,1936,Wasserkraft,Anteil in %
"""...""",1936,Müll und Industrieabfälle,In TJ
"""...""",1936,Müll und Industrieabfälle,Anteil in %
91970,1936,Kohle,In TJ
64.49961427870117,1936,Kohle,Anteil in %
15740,1936,Rohöl und Erdölprodukte,In TJ
11.03864226102812,1936,Rohöl und Erdölprodukte,Anteil in %
"""...""",1936,Gas,In TJ
"""...""",1936,Gas,Anteil in %
"""...""",1936,Kernbrennstoffe,In TJ
"""...""",1936,Kernbrennstoffe,Anteil in %
"""...""",1936,Übrige erneuerbare Energien,In TJ
"""...""",1936,Übrige erneuerbare Energien,Anteil in %
148030,1936,Gesamter Energieeinsatz,In TJ
103.8151343011431,1936,Gesamter Energieeinsatz,Anteil in %
-5440,1936,Elektrizität Import / Export-Saldo,In TJ
-3.815134301143138,1936,Elektrizität Import / Export-Saldo,Anteil in %
142590,1936,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1936,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
18020,1937,Holz und Holzkohle,In TJ
12.13468013468014,1937,Holz und Holzkohle,Anteil in %
24870,1937,Wasserkraft,In TJ
16.74747474747475,1937,Wasserkraft,Anteil in %
"""...""",1937,Müll und Industrieabfälle,In TJ
"""...""",1937,Müll und Industrieabfälle,Anteil in %
95520,1937,Kohle,In TJ
64.32323232323232,1937,Kohle,Anteil in %
15490,1937,Rohöl und Erdölprodukte,In TJ
10.43097643097643,1937,Rohöl und Erdölprodukte,Anteil in %
"""...""",1937,Gas,In TJ
"""...""",1937,Gas,Anteil in %
"""...""",1937,Kernbrennstoffe,In TJ
"""...""",1937,Kernbrennstoffe,Anteil in %
"""...""",1937,Übrige erneuerbare Energien,In TJ
"""...""",1937,Übrige erneuerbare Energien,Anteil in %
153900,1937,Gesamter Energieeinsatz,In TJ
103.6363636363636,1937,Gesamter Energieeinsatz,Anteil in %
-5400,1937,Elektrizität Import / Export-Saldo,In TJ
-3.636363636363636,1937,Elektrizität Import / Export-Saldo,Anteil in %
148500,1937,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1937,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
17950,1938,Holz und Holzkohle,In TJ
11.97784598959028,1938,Holz und Holzkohle,Anteil in %
24830,1938,Wasserkraft,In TJ
16.56879754437475,1938,Wasserkraft,Anteil in %
"""...""",1938,Müll und Industrieabfälle,In TJ
"""...""",1938,Müll und Industrieabfälle,Anteil in %
96210,1938,Kohle,In TJ
64.19991992526359,1938,Kohle,Anteil in %
16310,1938,Rohöl und Erdölprodukte,In TJ
10.88349125850794,1938,Rohöl und Erdölprodukte,Anteil in %
"""...""",1938,Gas,In TJ
"""...""",1938,Gas,Anteil in %
"""...""",1938,Kernbrennstoffe,In TJ
"""...""",1938,Kernbrennstoffe,Anteil in %
"""...""",1938,Übrige erneuerbare Energien,In TJ
"""...""",1938,Übrige erneuerbare Energien,Anteil in %
155300,1938,Gesamter Energieeinsatz,In TJ
103.6300547177366,1938,Gesamter Energieeinsatz,Anteil in %
-5440,1938,Elektrizität Import / Export-Saldo,In TJ
-3.630054717736554,1938,Elektrizität Import / Export-Saldo,Anteil in %
149860,1938,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1938,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
18160,1939,Holz und Holzkohle,In TJ
11.9348054679285,1939,Holz und Holzkohle,Anteil in %
26830,1939,Wasserkraft,In TJ
17.63275499474238,1939,Wasserkraft,Anteil in %
"""...""",1939,Müll und Industrieabfälle,In TJ
"""...""",1939,Müll und Industrieabfälle,Anteil in %
96250,1939,Kohle,In TJ
63.25578338590957,1939,Kohle,Anteil in %
16730,1939,Rohöl und Erdölprodukte,In TJ
10.99500525762355,1939,Rohöl und Erdölprodukte,Anteil in %
"""...""",1939,Gas,In TJ
"""...""",1939,Gas,Anteil in %
"""...""",1939,Kernbrennstoffe,In TJ
"""...""",1939,Kernbrennstoffe,Anteil in %
"""...""",1939,Übrige erneuerbare Energien,In TJ
"""...""",1939,Übrige erneuerbare Energien,Anteil in %
157970,1939,Gesamter Energieeinsatz,In TJ
103.818349106204,1939,Gesamter Energieeinsatz,Anteil in %
-5810,1939,Elektrizität Import / Export-Saldo,In TJ
-3.818349106203996,1939,Elektrizität Import / Export-Saldo,Anteil in %
152160,1939,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1939,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
23120,1940,Holz und Holzkohle,In TJ
16.74755523361101,1940,Holz und Holzkohle,Anteil in %
28760,1940,Wasserkraft,In TJ
20.83303151032235,1940,Wasserkraft,Anteil in %
"""...""",1940,Müll und Industrieabfälle,In TJ
"""...""",1940,Müll und Industrieabfälle,Anteil in %
81470,1940,Kohle,In TJ
59.01484969214053,1940,Kohle,Anteil in %
10940,1940,Rohöl und Erdölprodukte,In TJ
7.924664976457805,1940,Rohöl und Erdölprodukte,Anteil in %
"""...""",1940,Gas,In TJ
"""...""",1940,Gas,Anteil in %
"""...""",1940,Kernbrennstoffe,In TJ
"""...""",1940,Kernbrennstoffe,Anteil in %
"""...""",1940,Übrige erneuerbare Energien,In TJ
"""...""",1940,Übrige erneuerbare Energien,Anteil in %
144290,1940,Gesamter Energieeinsatz,In TJ
104.5201014125317,1940,Gesamter Energieeinsatz,Anteil in %
-6240,1940,Elektrizität Import / Export-Saldo,In TJ
-4.520101412531692,1940,Elektrizität Import / Export-Saldo,Anteil in %
138050,1940,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1940,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
31270,1941,Holz und Holzkohle,In TJ
23.89941913787833,1941,Holz und Holzkohle,Anteil in %
29300,1941,Wasserkraft,In TJ
22.39376337511465,1941,Wasserkraft,Anteil in %
"""...""",1941,Müll und Industrieabfälle,In TJ
"""...""",1941,Müll und Industrieabfälle,Anteil in %
71610,1941,Kohle,In TJ
54.73096912259248,1941,Kohle,Anteil in %
4210,1941,Rohöl und Erdölprodukte,In TJ
3.217670437175176,1941,Rohöl und Erdölprodukte,Anteil in %
"""...""",1941,Gas,In TJ
"""...""",1941,Gas,Anteil in %
"""...""",1941,Kernbrennstoffe,In TJ
"""...""",1941,Kernbrennstoffe,Anteil in %
"""...""",1941,Übrige erneuerbare Energien,In TJ
"""...""",1941,Übrige erneuerbare Energien,Anteil in %
136390,1941,Gesamter Energieeinsatz,In TJ
104.2418220727606,1941,Gesamter Energieeinsatz,Anteil in %
-5550,1941,Elektrizität Import / Export-Saldo,In TJ
-4.241822072760623,1941,Elektrizität Import / Export-Saldo,Anteil in %
130840,1941,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1941,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
30830,1942,Holz und Holzkohle,In TJ
24.74516413837387,1942,Holz und Holzkohle,Anteil in %
29060,1942,Wasserkraft,In TJ
23.32450437434786,1942,Wasserkraft,Anteil in %
"""...""",1942,Müll und Industrieabfälle,In TJ
"""...""",1942,Müll und Industrieabfälle,Anteil in %
66790,1942,Kohle,In TJ
53.60783369451802,1942,Kohle,Anteil in %
3210,1942,Rohöl und Erdölprodukte,In TJ
2.57645075848784,1942,Rohöl und Erdölprodukte,Anteil in %
"""...""",1942,Gas,In TJ
"""...""",1942,Gas,Anteil in %
"""...""",1942,Kernbrennstoffe,In TJ
"""...""",1942,Kernbrennstoffe,Anteil in %
"""...""",1942,Übrige erneuerbare Energien,In TJ
"""...""",1942,Übrige erneuerbare Energien,Anteil in %
129890,1942,Gesamter Energieeinsatz,In TJ
104.2539529657276,1942,Gesamter Energieeinsatz,Anteil in %
-5300,1942,Elektrizität Import / Export-Saldo,In TJ
-4.253952965727587,1942,Elektrizität Import / Export-Saldo,Anteil in %
124590,1942,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1942,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
31270,1943,Holz und Holzkohle,In TJ
26.17612589988281,1943,Holz und Holzkohle,Anteil in %
30930,1943,Wasserkraft,In TJ
25.89151180311401,1943,Wasserkraft,Anteil in %
"""...""",1943,Müll und Industrieabfälle,In TJ
"""...""",1943,Müll und Industrieabfälle,Anteil in %
59450,1943,Kohle,In TJ
49.76561192030805,1943,Kohle,Anteil in %
2700,1943,Rohöl und Erdölprodukte,In TJ
2.260170768458061,1943,Rohöl und Erdölprodukte,Anteil in %
"""...""",1943,Gas,In TJ
"""...""",1943,Gas,Anteil in %
"""...""",1943,Kernbrennstoffe,In TJ
"""...""",1943,Kernbrennstoffe,Anteil in %
"""...""",1943,Übrige erneuerbare Energien,In TJ
"""...""",1943,Übrige erneuerbare Energien,Anteil in %
124350,1943,Gesamter Energieeinsatz,In TJ
104.0934203917629,1943,Gesamter Energieeinsatz,Anteil in %
-4890,1943,Elektrizität Import / Export-Saldo,In TJ
-4.093420391762933,1943,Elektrizität Import / Export-Saldo,Anteil in %
119460,1943,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1943,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
30260,1944,Holz und Holzkohle,In TJ
27.4541825440029,1944,Holz und Holzkohle,Anteil in %
32140,1944,Wasserkraft,In TJ
29.15986209399383,1944,Wasserkraft,Anteil in %
"""...""",1944,Müll und Industrieabfälle,In TJ
"""...""",1944,Müll und Industrieabfälle,Anteil in %
49650,1944,Kohle,In TJ
45.04627109417529,1944,Kohle,Anteil in %
2280,1944,Rohöl und Erdölprodukte,In TJ
2.068590092542189,1944,Rohöl und Erdölprodukte,Anteil in %
"""...""",1944,Gas,In TJ
"""...""",1944,Gas,Anteil in %
"""...""",1944,Kernbrennstoffe,In TJ
"""...""",1944,Kernbrennstoffe,Anteil in %
"""...""",1944,Übrige erneuerbare Energien,In TJ
"""...""",1944,Übrige erneuerbare Energien,Anteil in %
114330,1944,Gesamter Energieeinsatz,In TJ
103.7289058247142,1944,Gesamter Energieeinsatz,Anteil in %
-4110,1944,Elektrizität Import / Export-Saldo,In TJ
-3.728905824714208,1944,Elektrizität Import / Export-Saldo,Anteil in %
110220,1944,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1944,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
32920,1945,Holz und Holzkohle,In TJ
29.10698496905393,1945,Holz und Holzkohle,Anteil in %
34280,1945,Wasserkraft,In TJ
30.30946065428824,1945,Wasserkraft,Anteil in %
"""...""",1945,Müll und Industrieabfälle,In TJ
"""...""",1945,Müll und Industrieabfälle,Anteil in %
47010,1945,Kohle,In TJ
41.56498673740053,1945,Kohle,Anteil in %
1260,1945,Rohöl und Erdölprodukte,In TJ
1.114058355437666,1945,Rohöl und Erdölprodukte,Anteil in %
"""...""",1945,Gas,In TJ
"""...""",1945,Gas,Anteil in %
"""...""",1945,Kernbrennstoffe,In TJ
"""...""",1945,Kernbrennstoffe,Anteil in %
"""...""",1945,Übrige erneuerbare Energien,In TJ
"""...""",1945,Übrige erneuerbare Energien,Anteil in %
115470,1945,Gesamter Energieeinsatz,In TJ
102.0954907161804,1945,Gesamter Energieeinsatz,Anteil in %
-2370,1945,Elektrizität Import / Export-Saldo,In TJ
-2.095490716180371,1945,Elektrizität Import / Export-Saldo,Anteil in %
113100,1945,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1945,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
34230,1946,Holz und Holzkohle,In TJ
24.67738447119891,1946,Holz und Holzkohle,Anteil in %
36150,1946,Wasserkraft,In TJ
26.0615672986807,1946,Wasserkraft,Anteil in %
"""...""",1946,Müll und Industrieabfälle,In TJ
"""...""",1946,Müll und Industrieabfälle,Anteil in %
54940,1946,Kohle,In TJ
39.60781486554682,1946,Kohle,Anteil in %
15520,1946,Rohöl und Erdölprodukte,In TJ
11.18881118881119,1946,Rohöl und Erdölprodukte,Anteil in %
"""...""",1946,Gas,In TJ
"""...""",1946,Gas,Anteil in %
"""...""",1946,Kernbrennstoffe,In TJ
"""...""",1946,Kernbrennstoffe,Anteil in %
"""...""",1946,Übrige erneuerbare Energien,In TJ
"""...""",1946,Übrige erneuerbare Energien,Anteil in %
140840,1946,Gesamter Energieeinsatz,In TJ
101.5355778242376,1946,Gesamter Energieeinsatz,Anteil in %
-2130,1946,Elektrizität Import / Export-Saldo,In TJ
-1.535577824237618,1946,Elektrizität Import / Export-Saldo,Anteil in %
138710,1946,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1946,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
22310,1947,Holz und Holzkohle,In TJ
14.9500770622529,1947,Holz und Holzkohle,Anteil in %
34120,1947,Wasserkraft,In TJ
22.86403538162568,1947,Wasserkraft,Anteil in %
"""...""",1947,Müll und Industrieabfälle,In TJ
"""...""",1947,Müll und Industrieabfälle,Anteil in %
64830,1947,Kohle,In TJ
43.44300743818267,1947,Kohle,Anteil in %
29530,1947,Rohöl und Erdölprodukte,In TJ
19.78824633116665,1947,Rohöl und Erdölprodukte,Anteil in %
"""...""",1947,Gas,In TJ
"""...""",1947,Gas,Anteil in %
"""...""",1947,Kernbrennstoffe,In TJ
"""...""",1947,Kernbrennstoffe,Anteil in %
"""...""",1947,Übrige erneuerbare Energien,In TJ
"""...""",1947,Übrige erneuerbare Energien,Anteil in %
150790,1947,Gesamter Energieeinsatz,In TJ
101.0453662132279,1947,Gesamter Energieeinsatz,Anteil in %
-1560,1947,Elektrizität Import / Export-Saldo,In TJ
-1.045366213227903,1947,Elektrizität Import / Export-Saldo,Anteil in %
149230,1947,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1947,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
23030,1948,Holz und Holzkohle,In TJ
14.40095047523762,1948,Holz und Holzkohle,Anteil in %
38170,1948,Wasserkraft,In TJ
23.86818409204602,1948,Wasserkraft,Anteil in %
"""...""",1948,Müll und Industrieabfälle,In TJ
"""...""",1948,Müll und Industrieabfälle,Anteil in %
69400,1948,Kohle,In TJ
43.39669834917459,1948,Kohle,Anteil in %
30540,1948,Rohöl und Erdölprodukte,In TJ
19.09704852426213,1948,Rohöl und Erdölprodukte,Anteil in %
"""...""",1948,Gas,In TJ
"""...""",1948,Gas,Anteil in %
"""...""",1948,Kernbrennstoffe,In TJ
"""...""",1948,Kernbrennstoffe,Anteil in %
"""...""",1948,Übrige erneuerbare Energien,In TJ
"""...""",1948,Übrige erneuerbare Energien,Anteil in %
161140,1948,Gesamter Energieeinsatz,In TJ
100.7628814407204,1948,Gesamter Energieeinsatz,Anteil in %
-1220,1948,Elektrizität Import / Export-Saldo,In TJ
-0.76288144072036,1948,Elektrizität Import / Export-Saldo,Anteil in %
159920,1948,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1948,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
20730,1949,Holz und Holzkohle,In TJ
13.13188901558343,1949,Holz und Holzkohle,Anteil in %
33510,1949,Wasserkraft,In TJ
21.22767008741923,1949,Wasserkraft,Anteil in %
"""...""",1949,Müll und Industrieabfälle,In TJ
"""...""",1949,Müll und Industrieabfälle,Anteil in %
69220,1949,Kohle,In TJ
43.84898010895731,1949,Kohle,Anteil in %
35400,1949,Rohöl und Erdölprodukte,In TJ
22.42493348536678,1949,Rohöl und Erdölprodukte,Anteil in %
"""...""",1949,Gas,In TJ
"""...""",1949,Gas,Anteil in %
"""...""",1949,Kernbrennstoffe,In TJ
"""...""",1949,Kernbrennstoffe,Anteil in %
"""...""",1949,Übrige erneuerbare Energien,In TJ
"""...""",1949,Übrige erneuerbare Energien,Anteil in %
158860,1949,Gesamter Energieeinsatz,In TJ
100.6334726973268,1949,Gesamter Energieeinsatz,Anteil in %
-1000,1949,Elektrizität Import / Export-Saldo,In TJ
-0.633472697326745,1949,Elektrizität Import / Export-Saldo,Anteil in %
157860,1949,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1949,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
21720,1950,Holz und Holzkohle,In TJ
12.11174928902024,1950,Holz und Holzkohle,Anteil in %
39100,1950,Wasserkraft,In TJ
21.80337924496738,1950,Wasserkraft,Anteil in %
"""...""",1950,Müll und Industrieabfälle,In TJ
"""...""",1950,Müll und Industrieabfälle,Anteil in %
77000,1950,Kohle,In TJ
42.93760107065187,1950,Kohle,Anteil in %
43820,1950,Rohöl und Erdölprodukte,In TJ
24.43539842748006,1950,Rohöl und Erdölprodukte,Anteil in %
"""...""",1950,Gas,In TJ
"""...""",1950,Gas,Anteil in %
"""...""",1950,Kernbrennstoffe,In TJ
"""...""",1950,Kernbrennstoffe,Anteil in %
"""...""",1950,Übrige erneuerbare Energien,In TJ
"""...""",1950,Übrige erneuerbare Energien,Anteil in %
181640,1950,Gesamter Energieeinsatz,In TJ
101.2881280321196,1950,Gesamter Energieeinsatz,Anteil in %
-2310,1950,Elektrizität Import / Export-Saldo,In TJ
-1.288128032119556,1950,Elektrizität Import / Export-Saldo,Anteil in %
179330,1950,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1950,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
21550,1951,Holz und Holzkohle,In TJ
11.19771369186802,1951,Holz und Holzkohle,Anteil in %
44440,1951,Wasserkraft,In TJ
23.09171213302156,1951,Wasserkraft,Anteil in %
"""...""",1951,Müll und Industrieabfälle,In TJ
"""...""",1951,Müll und Industrieabfälle,Anteil in %
81540,1951,Kohle,In TJ
42.36944660950896,1951,Kohle,Anteil in %
47300,1951,Rohöl und Erdölprodukte,In TJ
24.57781241881008,1951,Rohöl und Erdölprodukte,Anteil in %
"""...""",1951,Gas,In TJ
"""...""",1951,Gas,Anteil in %
"""...""",1951,Kernbrennstoffe,In TJ
"""...""",1951,Kernbrennstoffe,Anteil in %
"""...""",1951,Übrige erneuerbare Energien,In TJ
"""...""",1951,Übrige erneuerbare Energien,Anteil in %
194830,1951,Gesamter Energieeinsatz,In TJ
101.2366848532086,1951,Gesamter Energieeinsatz,Anteil in %
-2380,1951,Elektrizität Import / Export-Saldo,In TJ
-1.236684853208626,1951,Elektrizität Import / Export-Saldo,Anteil in %
192450,1951,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1951,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
21320,1952,Holz und Holzkohle,In TJ
10.64297124600639,1952,Holz und Holzkohle,Anteil in %
47060,1952,Wasserkraft,In TJ
23.49241214057508,1952,Wasserkraft,Anteil in %
"""...""",1952,Müll und Industrieabfälle,In TJ
"""...""",1952,Müll und Industrieabfälle,Anteil in %
84230,1952,Kohle,In TJ
42.04772364217252,1952,Kohle,Anteil in %
51260,1952,Rohöl und Erdölprodukte,In TJ
25.58905750798722,1952,Rohöl und Erdölprodukte,Anteil in %
"""...""",1952,Gas,In TJ
"""...""",1952,Gas,Anteil in %
"""...""",1952,Kernbrennstoffe,In TJ
"""...""",1952,Kernbrennstoffe,Anteil in %
"""...""",1952,Übrige erneuerbare Energien,In TJ
"""...""",1952,Übrige erneuerbare Energien,Anteil in %
203870,1952,Gesamter Energieeinsatz,In TJ
101.7721645367412,1952,Gesamter Energieeinsatz,Anteil in %
-3550,1952,Elektrizität Import / Export-Saldo,In TJ
-1.772164536741214,1952,Elektrizität Import / Export-Saldo,Anteil in %
200320,1952,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1952,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
19940,1953,Holz und Holzkohle,In TJ
10.36328673145886,1953,Holz und Holzkohle,Anteil in %
47820,1953,Wasserkraft,In TJ
24.85317810924588,1953,Wasserkraft,Anteil in %
"""...""",1953,Müll und Industrieabfälle,In TJ
"""...""",1953,Müll und Industrieabfälle,Anteil in %
71450,1953,Kohle,In TJ
37.13424458188244,1953,Kohle,Anteil in %
56140,1953,Rohöl und Erdölprodukte,In TJ
29.17727768826984,1953,Rohöl und Erdölprodukte,Anteil in %
"""...""",1953,Gas,In TJ
"""...""",1953,Gas,Anteil in %
"""...""",1953,Kernbrennstoffe,In TJ
"""...""",1953,Kernbrennstoffe,Anteil in %
"""...""",1953,Übrige erneuerbare Energien,In TJ
"""...""",1953,Übrige erneuerbare Energien,Anteil in %
195350,1953,Gesamter Energieeinsatz,In TJ
101.527987110857,1953,Gesamter Energieeinsatz,Anteil in %
-2940,1953,Elektrizität Import / Export-Saldo,In TJ
-1.527987110857024,1953,Elektrizität Import / Export-Saldo,Anteil in %
192410,1953,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1953,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
18280,1954,Holz und Holzkohle,In TJ
8.488901272406427,1954,Holz und Holzkohle,Anteil in %
47700,1954,Wasserkraft,In TJ
22.15101699637782,1954,Wasserkraft,Anteil in %
"""...""",1954,Müll und Industrieabfälle,In TJ
"""...""",1954,Müll und Industrieabfälle,Anteil in %
81520,1954,Kohle,In TJ
37.85641311414507,1954,Kohle,Anteil in %
68920,1954,Rohöl und Erdölprodukte,In TJ
32.00520107736602,1954,Rohöl und Erdölprodukte,Anteil in %
"""...""",1954,Gas,In TJ
"""...""",1954,Gas,Anteil in %
"""...""",1954,Kernbrennstoffe,In TJ
"""...""",1954,Kernbrennstoffe,Anteil in %
"""...""",1954,Übrige erneuerbare Energien,In TJ
"""...""",1954,Übrige erneuerbare Energien,Anteil in %
216420,1954,Gesamter Energieeinsatz,In TJ
100.5015324602954,1954,Gesamter Energieeinsatz,Anteil in %
-1080,1954,Elektrizität Import / Export-Saldo,In TJ
-0.501532460295347,1954,Elektrizität Import / Export-Saldo,Anteil in %
215340,1954,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1954,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
18120,1955,Holz und Holzkohle,In TJ
7.741935483870968,1955,Holz und Holzkohle,Anteil in %
55070,1955,Wasserkraft,In TJ
23.52916043580431,1955,Wasserkraft,Anteil in %
"""...""",1955,Müll und Industrieabfälle,In TJ
"""...""",1955,Müll und Industrieabfälle,Anteil in %
84990,1955,Kohle,In TJ
36.31275368511002,1955,Kohle,Anteil in %
79920,1955,Rohöl und Erdölprodukte,In TJ
34.14654988250374,1955,Rohöl und Erdölprodukte,Anteil in %
"""...""",1955,Gas,In TJ
"""...""",1955,Gas,Anteil in %
"""...""",1955,Kernbrennstoffe,In TJ
"""...""",1955,Kernbrennstoffe,Anteil in %
"""...""",1955,Übrige erneuerbare Energien,In TJ
"""...""",1955,Übrige erneuerbare Energien,Anteil in %
238100,1955,Gesamter Energieeinsatz,In TJ
101.730399487289,1955,Gesamter Energieeinsatz,Anteil in %
-4050,1955,Elektrizität Import / Export-Saldo,In TJ
-1.730399487289041,1955,Elektrizität Import / Export-Saldo,Anteil in %
234050,1955,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1955,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
17250,1956,Holz und Holzkohle,In TJ
6.528650367118311,1956,Holz und Holzkohle,Anteil in %
54300,1956,Wasserkraft,In TJ
20.55105593823329,1956,Wasserkraft,Anteil in %
"""...""",1956,Müll und Industrieabfälle,In TJ
"""...""",1956,Müll und Industrieabfälle,Anteil in %
91280,1956,Kohle,In TJ
34.54696843539475,1956,Kohle,Anteil in %
103240,1956,Rohöl und Erdölprodukte,In TJ
39.07349935659678,1956,Rohöl und Erdölprodukte,Anteil in %
"""...""",1956,Gas,In TJ
"""...""",1956,Gas,Anteil in %
"""...""",1956,Kernbrennstoffe,In TJ
"""...""",1956,Kernbrennstoffe,Anteil in %
"""...""",1956,Übrige erneuerbare Energien,In TJ
"""...""",1956,Übrige erneuerbare Energien,Anteil in %
266070,1956,Gesamter Energieeinsatz,In TJ
100.7001740973431,1956,Gesamter Energieeinsatz,Anteil in %
-1850,1956,Elektrizität Import / Export-Saldo,In TJ
-0.700174097343123,1956,Elektrizität Import / Export-Saldo,Anteil in %
264220,1956,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1956,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
17820,1957,Holz und Holzkohle,In TJ
6.86599368112815,1957,Holz und Holzkohle,Anteil in %
55560,1957,Wasserkraft,In TJ
21.40710487786083,1957,Wasserkraft,Anteil in %
"""...""",1957,Müll und Industrieabfälle,In TJ
"""...""",1957,Müll und Industrieabfälle,Anteil in %
84820,1957,Kohle,In TJ
32.68089697156508,1957,Kohle,Anteil in %
102470,1957,Rohöl und Erdölprodukte,In TJ
39.48139015180704,1957,Rohöl und Erdölprodukte,Anteil in %
"""...""",1957,Gas,In TJ
"""...""",1957,Gas,Anteil in %
"""...""",1957,Kernbrennstoffe,In TJ
"""...""",1957,Kernbrennstoffe,Anteil in %
"""...""",1957,Übrige erneuerbare Energien,In TJ
"""...""",1957,Übrige erneuerbare Energien,Anteil in %
260670,1957,Gesamter Energieeinsatz,In TJ
100.4353856823611,1957,Gesamter Energieeinsatz,Anteil in %
-1130,1957,Elektrizität Import / Export-Saldo,In TJ
-0.4353856823611,1957,Elektrizität Import / Export-Saldo,Anteil in %
259540,1957,Inländischer Bruttoenergieverbrauch = 100%,In TJ
