Wert,Jahr,Energietyp,Aus-/ Einfuhr
653,1984,Kohle (in 1000 t),Saldo
50690,1984,Gas (TJ),Einfuhr
1790,1984,Gas (TJ),Ausfuhr
48900,1984,Gas (TJ),Saldo
"""...""",1984,Biotreibstoffe (TJ),Einfuhr
"""...""",1984,Biotreibstoffe (TJ),Ausfuhr
"""...""",1984,Biotreibstoffe (TJ),Saldo
16306,1984,Elektrizität (GWh),Einfuhr
21001,1984,Elektrizität (GWh),Ausfuhr
-4695,1984,Elektrizität (GWh),Saldo
350,1985,Holz und Holzkohle (TJ),Einfuhr
"""...""",1985,Holz und Holzkohle (TJ),Ausfuhr
"""...""",1985,Holz und Holzkohle (TJ),Saldo
12353,1985,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
366,1985,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
11987,1985,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
587,1985,Kohle (in 1000 t),Einfuhr
2,1985,Kohle (in 1000 t),Ausfuhr
585,1985,Kohle (in 1000 t),Saldo
52440,1985,Gas (TJ),Einfuhr
1660,1985,Gas (TJ),Ausfuhr
50780,1985,Gas (TJ),Saldo
"""...""",1985,Biotreibstoffe (TJ),Einfuhr
"""...""",1985,Biotreibstoffe (TJ),Ausfuhr
"""...""",1985,Biotreibstoffe (TJ),Saldo
15579,1985,Elektrizität (GWh),Einfuhr
24277,1985,Elektrizität (GWh),Ausfuhr
-8698,1985,Elektrizität (GWh),Saldo
660,1986,Holz und Holzkohle (TJ),Einfuhr
"""...""",1986,Holz und Holzkohle (TJ),Ausfuhr
"""...""",1986,Holz und Holzkohle (TJ),Saldo
13594,1986,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
243,1986,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
13351,1986,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
706,1986,Kohle (in 1000 t),Einfuhr
2,1986,Kohle (in 1000 t),Ausfuhr
704,1986,Kohle (in 1000 t),Saldo
53810,1986,Gas (TJ),Einfuhr
1040,1986,Gas (TJ),Ausfuhr
52760,1986,Gas (TJ),Saldo
"""...""",1986,Biotreibstoffe (TJ),Einfuhr
"""...""",1986,Biotreibstoffe (TJ),Ausfuhr
"""...""",1986,Biotreibstoffe (TJ),Saldo
14512,1986,Elektrizität (GWh),Einfuhr
23098,1986,Elektrizität (GWh),Ausfuhr
-8586,1986,Elektrizität (GWh),Saldo
500,1987,Holz und Holzkohle (TJ),Einfuhr
"""...""",1987,Holz und Holzkohle (TJ),Ausfuhr
"""...""",1987,Holz und Holzkohle (TJ),Saldo
12008,1987,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
161,1987,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
11847,1987,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
605,1987,Kohle (in 1000 t),Einfuhr
13,1987,Kohle (in 1000 t),Ausfuhr
592,1987,Kohle (in 1000 t),Saldo
57970,1987,Gas (TJ),Einfuhr
1800,1987,Gas (TJ),Ausfuhr
56170,1987,Gas (TJ),Saldo
"""...""",1987,Biotreibstoffe (TJ),Einfuhr
"""...""",1987,Biotreibstoffe (TJ),Ausfuhr
"""...""",1987,Biotreibstoffe (TJ),Saldo
12710,1987,Elektrizität (GWh),Einfuhr
22165,1987,Elektrizität (GWh),Ausfuhr
-9455,1987,Elektrizität (GWh),Saldo
550,1988,Holz und Holzkohle (TJ),Einfuhr
"""...""",1988,Holz und Holzkohle (TJ),Ausfuhr
"""...""",1988,Holz und Holzkohle (TJ),Saldo
12325,1988,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
164,1988,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12161,1988,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
493,1988,Kohle (in 1000 t),Einfuhr
27,1988,Kohle (in 1000 t),Ausfuhr
466,1988,Kohle (in 1000 t),Saldo
58430,1988,Gas (TJ),Einfuhr
650,1988,Gas (TJ),Ausfuhr
57770,1988,Gas (TJ),Saldo
"""...""",1988,Biotreibstoffe (TJ),Einfuhr
"""...""",1988,Biotreibstoffe (TJ),Ausfuhr
"""...""",1988,Biotreibstoffe (TJ),Saldo
15106,1988,Elektrizität (GWh),Einfuhr
24727,1988,Elektrizität (GWh),Ausfuhr
-9621,1988,Elektrizität (GWh),Saldo
590,1989,Holz und Holzkohle (TJ),Einfuhr
"""...""",1989,Holz und Holzkohle (TJ),Ausfuhr
"""...""",1989,Holz und Holzkohle (TJ),Saldo
12141,1989,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
50,1989,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12091,1989,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
383,1989,Kohle (in 1000 t),Einfuhr
20,1989,Kohle (in 1000 t),Ausfuhr
363,1989,Kohle (in 1000 t),Saldo
63670,1989,Gas (TJ),Einfuhr
0,1989,Gas (TJ),Ausfuhr
63670,1989,Gas (TJ),Saldo
"""...""",1989,Biotreibstoffe (TJ),Einfuhr
"""...""",1989,Biotreibstoffe (TJ),Ausfuhr
"""...""",1989,Biotreibstoffe (TJ),Saldo
21933,1989,Elektrizität (GWh),Einfuhr
24449,1989,Elektrizität (GWh),Ausfuhr
-2516,1989,Elektrizität (GWh),Saldo
370,1990,Holz und Holzkohle (TJ),Einfuhr
100,1990,Holz und Holzkohle (TJ),Ausfuhr
270,1990,Holz und Holzkohle (TJ),Saldo
12914,1990,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
170,1990,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12744,1990,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
515,1990,Kohle (in 1000 t),Einfuhr
13,1990,Kohle (in 1000 t),Ausfuhr
502,1990,Kohle (in 1000 t),Saldo
68180,1990,Gas (TJ),Einfuhr
0,1990,Gas (TJ),Ausfuhr
68180,1990,Gas (TJ),Saldo
"""...""",1990,Biotreibstoffe (TJ),Einfuhr
"""...""",1990,Biotreibstoffe (TJ),Ausfuhr
"""...""",1990,Biotreibstoffe (TJ),Saldo
22799,1990,Elektrizität (GWh),Einfuhr
24907,1990,Elektrizität (GWh),Ausfuhr
-2108,1990,Elektrizität (GWh),Saldo
360,1991,Holz und Holzkohle (TJ),Einfuhr
320,1991,Holz und Holzkohle (TJ),Ausfuhr
40,1991,Holz und Holzkohle (TJ),Saldo
13432,1991,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
555,1991,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12877,1991,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
413,1991,Kohle (in 1000 t),Einfuhr
8,1991,Kohle (in 1000 t),Ausfuhr
405,1991,Kohle (in 1000 t),Saldo
