Wert,Jahr,Energietyp,Aus-/ Einfuhr
"""...""",2006,Biotreibstoffe (TJ),Saldo
48788,2006,Elektrizität (GWh),Einfuhr
46085,2006,Elektrizität (GWh),Ausfuhr
2703,2006,Elektrizität (GWh),Saldo
820,2007,Holz und Holzkohle (TJ),Einfuhr
310,2007,Holz und Holzkohle (TJ),Ausfuhr
510,2007,Holz und Holzkohle (TJ),Saldo
11687,2007,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
580,2007,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
11107,2007,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
335,2007,Kohle (in 1000 t),Einfuhr
0,2007,Kohle (in 1000 t),Ausfuhr
335,2007,Kohle (in 1000 t),Saldo
110310,2007,Gas (TJ),Einfuhr
0,2007,Gas (TJ),Ausfuhr
110310,2007,Gas (TJ),Saldo
0,2007,Biotreibstoffe (TJ),Einfuhr
"""...""",2007,Biotreibstoffe (TJ),Ausfuhr
"""...""",2007,Biotreibstoffe (TJ),Saldo
48568,2007,Elektrizität (GWh),Einfuhr
50630,2007,Elektrizität (GWh),Ausfuhr
-2062,2007,Elektrizität (GWh),Saldo
790,2008,Holz und Holzkohle (TJ),Einfuhr
360,2008,Holz und Holzkohle (TJ),Ausfuhr
430,2008,Holz und Holzkohle (TJ),Saldo
12849,2008,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
650,2008,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12199,2008,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
260,2008,Kohle (in 1000 t),Einfuhr
0,2008,Kohle (in 1000 t),Ausfuhr
260,2008,Kohle (in 1000 t),Saldo
117530,2008,Gas (TJ),Einfuhr
0,2008,Gas (TJ),Ausfuhr
117530,2008,Gas (TJ),Saldo
10,2008,Biotreibstoffe (TJ),Einfuhr
"""...""",2008,Biotreibstoffe (TJ),Ausfuhr
"""...""",2008,Biotreibstoffe (TJ),Saldo
50273,2008,Elektrizität (GWh),Einfuhr
51408,2008,Elektrizität (GWh),Ausfuhr
-1135,2008,Elektrizität (GWh),Saldo
1090,2009,Holz und Holzkohle (TJ),Einfuhr
600,2009,Holz und Holzkohle (TJ),Ausfuhr
490,2009,Holz und Holzkohle (TJ),Saldo
13128,2009,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
532,2009,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12596,2009,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
272,2009,Kohle (in 1000 t),Einfuhr
0,2009,Kohle (in 1000 t),Ausfuhr
272,2009,Kohle (in 1000 t),Saldo
112810,2009,Gas (TJ),Einfuhr
0,2009,Gas (TJ),Ausfuhr
112810,2009,Gas (TJ),Saldo
100,2009,Biotreibstoffe (TJ),Einfuhr
"""...""",2009,Biotreibstoffe (TJ),Ausfuhr
"""...""",2009,Biotreibstoffe (TJ),Saldo
52002,2009,Elektrizität (GWh),Einfuhr
54159,2009,Elektrizität (GWh),Ausfuhr
-2157,2009,Elektrizität (GWh),Saldo
1190,2010,Holz und Holzkohle (TJ),Einfuhr
600,2010,Holz und Holzkohle (TJ),Ausfuhr
590,2010,Holz und Holzkohle (TJ),Saldo
11861,2010,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
421,2010,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
11440,2010,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
216,2010,Kohle (in 1000 t),Einfuhr
0,2010,Kohle (in 1000 t),Ausfuhr
216,2010,Kohle (in 1000 t),Saldo
126010,2010,Gas (TJ),Einfuhr
0,2010,Gas (TJ),Ausfuhr
126010,2010,Gas (TJ),Saldo
170,2010,Biotreibstoffe (TJ),Einfuhr
"""...""",2010,Biotreibstoffe (TJ),Ausfuhr
"""...""",2010,Biotreibstoffe (TJ),Saldo
66834,2010,Elektrizität (GWh),Einfuhr
66314,2010,Elektrizität (GWh),Ausfuhr
520,2010,Elektrizität (GWh),Saldo
1250,2011,Holz und Holzkohle (TJ),Einfuhr
300,2011,Holz und Holzkohle (TJ),Ausfuhr
950,2011,Holz und Holzkohle (TJ),Saldo
11483,2011,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
450,2011,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
11033,2011,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
192,2011,Kohle (in 1000 t),Einfuhr
0,2011,Kohle (in 1000 t),Ausfuhr
192,2011,Kohle (in 1000 t),Saldo
111770,2011,Gas (TJ),Einfuhr
0,2011,Gas (TJ),Ausfuhr
111770,2011,Gas (TJ),Saldo
190,2011,Biotreibstoffe (TJ),Einfuhr
"""...""",2011,Biotreibstoffe (TJ),Ausfuhr
"""...""",2011,Biotreibstoffe (TJ),Saldo
83298,2011,Elektrizität (GWh),Einfuhr
80711,2011,Elektrizität (GWh),Ausfuhr
2587,2011,Elektrizität (GWh),Saldo
1180,2012,Holz und Holzkohle (TJ),Einfuhr
300,2012,Holz und Holzkohle (TJ),Ausfuhr
880,2012,Holz und Holzkohle (TJ),Saldo
11713,2012,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
316,2012,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
11397,2012,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
215,2012,Kohle (in 1000 t),Einfuhr
0,2012,Kohle (in 1000 t),Ausfuhr
215,2012,Kohle (in 1000 t),Saldo
122520,2012,Gas (TJ),Einfuhr
0,2012,Gas (TJ),Ausfuhr
122520,2012,Gas (TJ),Saldo
250,2012,Biotreibstoffe (TJ),Einfuhr
"""...""",2012,Biotreibstoffe (TJ),Ausfuhr
"""...""",2012,Biotreibstoffe (TJ),Saldo
86825,2012,Elektrizität (GWh),Einfuhr
89025,2012,Elektrizität (GWh),Ausfuhr
-2200,2012,Elektrizität (GWh),Saldo
2080,2013,Holz und Holzkohle (TJ),Einfuhr
170,2013,Holz und Holzkohle (TJ),Ausfuhr
1910,2013,Holz und Holzkohle (TJ),Saldo
12382,2013,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
575,2013,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
11807,2013,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
228,2013,Kohle (in 1000 t),Einfuhr
0,2013,Kohle (in 1000 t),Ausfuhr
228,2013,Kohle (in 1000 t),Saldo
129030,2013,Gas (TJ),Einfuhr
0,2013,Gas (TJ),Ausfuhr
129030,2013,Gas (TJ),Saldo
280,2013,Biotreibstoffe (TJ),Einfuhr
"""...""",2013,Biotreibstoffe (TJ),Ausfuhr
"""...""",2013,Biotreibstoffe (TJ),Saldo
36208,2013,Elektrizität (GWh),Einfuhr
38604,2013,Elektrizität (GWh),Ausfuhr
-2396,2013,Elektrizität (GWh),Saldo
1630,2014,Holz und Holzkohle (TJ),Einfuhr
150,2014,Holz und Holzkohle (TJ),Ausfuhr
1480,2014,Holz und Holzkohle (TJ),Saldo
11234,2014,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
523,2014,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
10711,2014,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
192,2014,Kohle (in 1000 t),Einfuhr
0,2014,Kohle (in 1000 t),Ausfuhr
192,2014,Kohle (in 1000 t),Saldo
111770,2014,Gas (TJ),Einfuhr
0,2014,Gas (TJ),Ausfuhr
111770,2014,Gas (TJ),Saldo
670,2014,Biotreibstoffe (TJ),Einfuhr
"""...""",2014,Biotreibstoffe (TJ),Ausfuhr
"""...""",2014,Biotreibstoffe (TJ),Saldo
37438,2014,Elektrizität (GWh),Einfuhr
42929,2014,Elektrizität (GWh),Ausfuhr
-5491,2014,Elektrizität (GWh),Saldo
