Wert,Jahr,Produktion und Eigenverbrauch
33.7,1982,Deckung des Bedarfs (%)
2231,1983,Heizöl (Total)
1512,1983,Heizöl extraleicht
36,1983,Heizöl mittel
683,1983,Heizöl schwer
1626,1983,Treibstoffe (Total)
907,1983,Superbenzin
207,1983,Normalbenzin
254,1983,Flugpetrol
258,1983,Diesel
163,1983,Übrige energetische Produkte
118,1983,Nicht energetische Produkte
181,1983,Eigenverbrauch
3957,1983,Netto-Ausstoss
35.9,1983,Deckung des Bedarfs (%)
2189,1984,Heizöl (Total)
1459,1984,Heizöl extraleicht
24,1984,Heizöl mittel
706,1984,Heizöl schwer
1526,1984,Treibstoffe (Total)
793,1984,Superbenzin
182,1984,Normalbenzin
254,1984,Flugpetrol
297,1984,Diesel
150,1984,Übrige energetische Produkte
141,1984,Nicht energetische Produkte
175,1984,Eigenverbrauch
3831,1984,Netto-Ausstoss
34,1984,Deckung des Bedarfs (%)
2242,1985,Heizöl (Total)
1553,1985,Heizöl extraleicht
31,1985,Heizöl mittel
658,1985,Heizöl schwer
1509,1985,Treibstoffe (Total)
990,1985,Superbenzin
27,1985,Normalbenzin
242,1985,Flugpetrol
250,1985,Diesel
153,1985,Übrige energetische Produkte
122,1985,Nicht energetische Produkte
170,1985,Eigenverbrauch
3856,1985,Netto-Ausstoss
34.2,1985,Deckung des Bedarfs (%)
2237,1986,Heizöl (Total)
1549,1986,Heizöl extraleicht
40,1986,Heizöl mittel
648,1986,Heizöl schwer
1540,1986,Treibstoffe (Total)
835,1986,Superbenzin
191,1986,Normalbenzin
251,1986,Flugpetrol
263,1986,Diesel
141,1986,Übrige energetische Produkte
151,1986,Nicht energetische Produkte
184,1986,Eigenverbrauch
3885,1986,Netto-Ausstoss
33.5,1986,Deckung des Bedarfs (%)
2036,1987,Heizöl (Total)
1448,1987,Heizöl extraleicht
30,1987,Heizöl mittel
558,1987,Heizöl schwer
1593,1987,Treibstoffe (Total)
692,1987,Superbenzin
339,1987,Normalbenzin
286,1987,Flugpetrol
276,1987,Diesel
161,1987,Übrige energetische Produkte
159,1987,Nicht energetische Produkte
187,1987,Eigenverbrauch
3762,1987,Netto-Ausstoss
