GWh,Jahr,Kraftwerkstyp
22029,1993,Kernkraftwerke
913,1993,Konventionell thermische Kraftwerke
118,1993,Diverse Erneuerbare
59313,1993,Bruttoerzeugung
1186,1993,>> Abzüglich Verbrauch der Speicherpumpen
58127,1993,Nettoerzeugung
39556,1994,Wasserkraftwerke
22984,1994,Kernkraftwerke
988,1994,Konventionell thermische Kraftwerke
133,1994,Diverse Erneuerbare
63661,1994,Bruttoerzeugung
1271,1994,>> Abzüglich Verbrauch der Speicherpumpen
62390,1994,Nettoerzeugung
35597,1995,Wasserkraftwerke
23486,1995,Kernkraftwerke
1137,1995,Konventionell thermische Kraftwerke
138,1995,Diverse Erneuerbare
60358,1995,Bruttoerzeugung
1520,1995,>> Abzüglich Verbrauch der Speicherpumpen
58838,1995,Nettoerzeugung
29698,1996,Wasserkraftwerke
23719,1996,Kernkraftwerke
1556,1996,Konventionell thermische Kraftwerke
147,1996,Diverse Erneuerbare
55120,1996,Bruttoerzeugung
1754,1996,>> Abzüglich Verbrauch der Speicherpumpen
53366,1996,Nettoerzeugung
34794,1997,Wasserkraftwerke
23971,1997,Kernkraftwerke
1686,1997,Konventionell thermische Kraftwerke
149,1997,Diverse Erneuerbare
60600,1997,Bruttoerzeugung
1519,1997,>> Abzüglich Verbrauch der Speicherpumpen
59081,1997,Nettoerzeugung
34295,1998,Wasserkraftwerke
24368,1998,Kernkraftwerke
2124,1998,Konventionell thermische Kraftwerke
161,1998,Diverse Erneuerbare
60948,1998,Bruttoerzeugung
1620,1998,>> Abzüglich Verbrauch der Speicherpumpen
59328,1998,Nettoerzeugung
40616,1999,Wasserkraftwerke
23523,1999,Kernkraftwerke
2386,1999,Konventionell thermische Kraftwerke
168,1999,Diverse Erneuerbare
66693,1999,Bruttoerzeugung
1408,1999,>> Abzüglich Verbrauch der Speicherpumpen
65285,1999,Nettoerzeugung
37851,2000,Wasserkraftwerke
24949,2000,Kernkraftwerke
2372,2000,Konventionell thermische Kraftwerke
176,2000,Diverse Erneuerbare
65348,2000,Bruttoerzeugung
1974,2000,>> Abzüglich Verbrauch der Speicherpumpen
63374,2000,Nettoerzeugung
42261,2001,Wasserkraftwerke
25293,2001,Kernkraftwerke
2433,2001,Konventionell thermische Kraftwerke
187,2001,Diverse Erneuerbare
70174,2001,Bruttoerzeugung
1947,2001,>> Abzüglich Verbrauch der Speicherpumpen
68227,2001,Nettoerzeugung
36513,2002,Wasserkraftwerke
25692,2002,Kernkraftwerke
2612,2002,Konventionell thermische Kraftwerke
194,2002,Diverse Erneuerbare
65011,2002,Bruttoerzeugung
2418,2002,>> Abzüglich Verbrauch der Speicherpumpen
62593,2002,Nettoerzeugung
36445,2003,Wasserkraftwerke
25931,2003,Kernkraftwerke
2689,2003,Konventionell thermische Kraftwerke
201,2003,Diverse Erneuerbare
65266,2003,Bruttoerzeugung
2893,2003,>> Abzüglich Verbrauch der Speicherpumpen
62373,2003,Nettoerzeugung
35117,2004,Wasserkraftwerke
25432,2004,Kernkraftwerke
2776,2004,Konventionell thermische Kraftwerke
198,2004,Diverse Erneuerbare
63523,2004,Bruttoerzeugung
2433,2004,>> Abzüglich Verbrauch der Speicherpumpen
61090,2004,Nettoerzeugung
32759,2005,Wasserkraftwerke
22020,2005,Kernkraftwerke
2932,2005,Konventionell thermische Kraftwerke
