Wert,Erwerbsstatus,Wirtschaftsabschnitt,Quartal
6769.3,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2011Q2
6806.8,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2011Q3
6900.2,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2011Q4
7015.8,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2012Q1
7039.6,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2012Q2
7026.4,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2012Q3
7006.8,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2012Q4
7046.4,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2013Q1
7052.9,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2013Q2
7135.2,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2013Q3
7138.3,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2013Q4
7133.4,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2014Q1
7190.2,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2014Q2
7228.9,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2014Q3
7279.6,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2014Q4
7335.3,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2015Q1
7313.5,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2015Q2
7429.9,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2015Q3
7437.1,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2015Q4
7461.4,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2016Q1
7555.7,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2016Q2
7622.5,Erwerbsstatus - Total,..... Herstellung von pharmazeutischen Erzeugnissen,2016Q3
3195.2,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2002Q1
3177,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2002Q2
3180.6,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2002Q3
3168.9,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2002Q4
3114.8,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2003Q1
3099.8,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2003Q2
3091.7,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2003Q3
3095.9,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2003Q4
3134.6,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2004Q1
3166.5,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2004Q2
3078.1,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2004Q3
3070.3,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2004Q4
3143.7,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2005Q1
3146.4,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2005Q2
3125.9,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2005Q3
3120.5,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2005Q4
3116.5,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2006Q1
3165.5,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2006Q2
3235.1,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2006Q3
3293.1,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2006Q4
3367.6,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2007Q1
3471.4,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2007Q2
3538.4,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2007Q3
3536.2,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2007Q4
3592.1,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2008Q1
3638.2,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2008Q2
3615.1,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2008Q3
3571.7,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2008Q4
3605.2,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2009Q1
3618.5,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2009Q2
3606.7,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2009Q3
3553.8,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2009Q4
3662.1,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2010Q1
3732.8,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2010Q2
3724.9,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2010Q3
3696,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2010Q4
3743.2,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2011Q1
3806.6,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2011Q2
3857.7,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2011Q3
3865.5,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2011Q4
3930.2,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2012Q1
3980.1,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2012Q2
4059.1,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2012Q3
4053.3,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2012Q4
4081.9,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2013Q1
4196.9,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2013Q2
4223.7,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2013Q3
4209.6,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2013Q4
4258,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2014Q1
4305.5,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2014Q2
4296.4,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2014Q3
4264.2,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2014Q4
4278.8,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2015Q1
4288.8,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2015Q2
4297.3,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2015Q3
4271.3,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2015Q4
4308.6,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2016Q1
4332.2,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2016Q2
4373.2,Erwerbsstatus - Total,..... Herstellung von Gummi- und Kunststoffwaren,2016Q3
7133.6,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2002Q1
7071.2,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2002Q2
7023.9,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2002Q3
6955.4,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2002Q4
6891.4,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2003Q1
6833.3,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2003Q2
6784.5,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2003Q3
6671.6,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2003Q4
6660.7,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2004Q1
6747.6,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2004Q2
6649.6,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2004Q3
6607.4,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2004Q4
6618.4,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2005Q1
6547.4,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2005Q2
6499.3,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2005Q3
6603.8,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2005Q4
6692.4,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2006Q1
6927.3,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2006Q2
7200,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2006Q3
7291.5,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2006Q4
7547.2,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2007Q1
7707.7,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2007Q2
7857.4,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2007Q3
7868,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2007Q4
8044.5,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2008Q1
8128.8,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2008Q2
8112.6,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2008Q3
8087,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2008Q4
8037,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2009Q1
8024.4,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2009Q2
7866.3,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2009Q3
7745,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2009Q4
7799.7,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2010Q1
7917.3,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2010Q2
7899.2,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2010Q3
7895.5,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2010Q4
7867.9,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2011Q1
8004.9,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2011Q2
8122.1,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2011Q3
8089,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2011Q4
8128.4,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2012Q1
8138.1,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2012Q2
8212.6,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2012Q3
8219.2,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2012Q4
8156.9,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2013Q1
8204.1,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2013Q2
8296.6,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2013Q3
8204.7,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2013Q4
8203,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2014Q1
8282.7,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2014Q2
8309.1,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2014Q3
8370,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2014Q4
8365.6,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2015Q1
8366.3,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2015Q2
8362.9,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2015Q3
8372,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2015Q4
8359,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2016Q1
8331.3,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2016Q2
8409.7,Erwerbsstatus - Total,..... Herstellung von Metallerzeugnissen,2016Q3
9918.9,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2002Q1
9946.8,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2002Q2
9950.2,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2002Q3
9991.4,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2002Q4
10033.2,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2003Q1
9993.7,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2003Q2
9971.2,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2003Q3
9947,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2003Q4
10029,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2004Q1
10241.9,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2004Q2
10297,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2004Q3
10403.8,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2004Q4
10555.4,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2005Q1
10632.4,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2005Q2
10775,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2005Q3
11025.4,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2005Q4
11321.8,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2006Q1
11679.5,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2006Q2
11985.2,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2006Q3
12369.5,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2006Q4
12927.6,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2007Q1
13403,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2007Q2
13746.3,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2007Q3
14212.6,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2007Q4
14682.8,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2008Q1
15046.6,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2008Q2
15317.4,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2008Q3
15490.7,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2008Q4
15368,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2009Q1
15220.9,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2009Q2
14928.1,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2009Q3
14758.5,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2009Q4
14791.9,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2010Q1
14917.8,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2010Q2
14977.3,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2010Q3
15212,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2010Q4
15649.2,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2011Q1
16064.6,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2011Q2
16375.7,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2011Q3
16622.6,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2011Q4
17109.4,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2012Q1
17323.6,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2012Q2
17490.5,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2012Q3
17589.4,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2012Q4
17688.3,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2013Q1
17914.6,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2013Q2
18024.3,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2013Q3
18106.4,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2013Q4
18250.9,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2014Q1
18525.3,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2014Q2
18531.4,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2014Q3
18705.3,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2014Q4
18734.1,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2015Q1
18694.8,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2015Q2
18555.1,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2015Q3
18533.4,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2015Q4
18481.4,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2016Q1
18316.5,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2016Q2
18212.5,Erwerbsstatus - Total,..... Herstellung von Datenverarbeitungsgeräten und Uhren,2016Q3
3109.2,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2002Q1
3088.9,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2002Q2
3019.4,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2002Q3
3034.6,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2002Q4
3024,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2003Q1
3015.4,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2003Q2
3020.6,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2003Q3
3027.9,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2003Q4
3060.5,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2004Q1
3118.8,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2004Q2
3078.2,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2004Q3
3066.3,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2004Q4
3046.2,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2005Q1
3041.1,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2005Q2
3034.7,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2005Q3
3050.7,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2005Q4
3103.4,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2006Q1
3197.8,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2006Q2
3253.3,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2006Q3
3310.5,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2006Q4
3374,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2007Q1
3409,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2007Q2
3437.2,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2007Q3
3458.4,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2007Q4
3504.7,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2008Q1
3542.5,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2008Q2
3553.5,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2008Q3
3582.7,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2008Q4
3584.6,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2009Q1
3575.8,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2009Q2
3571.1,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2009Q3
3526.2,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2009Q4
3590.9,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2010Q1
3702.1,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2010Q2
3720.2,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2010Q3
3751.3,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2010Q4
3816.5,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2011Q1
3878.9,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2011Q2
3951.7,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2011Q3
3918.2,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2011Q4
4006.9,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2012Q1
4026,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2012Q2
3951.2,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2012Q3
3981,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2012Q4
3974.7,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2013Q1
4055.2,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2013Q2
4032.1,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2013Q3
4015.3,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2013Q4
4055.9,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2014Q1
4109.2,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2014Q2
4162.4,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2014Q3
4167.6,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2014Q4
4165.9,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2015Q1
4160.2,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2015Q2
4159.4,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2015Q3
4160.7,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2015Q4
4145,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2016Q1
4150.4,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2016Q2
4154.7,Erwerbsstatus - Total,..... Herstellung von elektrischen Ausrüstungen,2016Q3
6618.2,Erwerbsstatus - Total,..... Maschinenbau,2002Q1
6526.5,Erwerbsstatus - Total,..... Maschinenbau,2002Q2
6462.3,Erwerbsstatus - Total,..... Maschinenbau,2002Q3
6387.4,Erwerbsstatus - Total,..... Maschinenbau,2002Q4
6276.2,Erwerbsstatus - Total,..... Maschinenbau,2003Q1
6225.9,Erwerbsstatus - Total,..... Maschinenbau,2003Q2
6185.9,Erwerbsstatus - Total,..... Maschinenbau,2003Q3
6152.5,Erwerbsstatus - Total,..... Maschinenbau,2003Q4
6096.9,Erwerbsstatus - Total,..... Maschinenbau,2004Q1
6172.7,Erwerbsstatus - Total,..... Maschinenbau,2004Q2
6036.3,Erwerbsstatus - Total,..... Maschinenbau,2004Q3
5995.7,Erwerbsstatus - Total,..... Maschinenbau,2004Q4
6013.5,Erwerbsstatus - Total,..... Maschinenbau,2005Q1
5960.7,Erwerbsstatus - Total,..... Maschinenbau,2005Q2
5895.4,Erwerbsstatus - Total,..... Maschinenbau,2005Q3
5939.6,Erwerbsstatus - Total,..... Maschinenbau,2005Q4
5984.7,Erwerbsstatus - Total,..... Maschinenbau,2006Q1
6102.5,Erwerbsstatus - Total,..... Maschinenbau,2006Q2
6215.8,Erwerbsstatus - Total,..... Maschinenbau,2006Q3
6332.5,Erwerbsstatus - Total,..... Maschinenbau,2006Q4
6444.8,Erwerbsstatus - Total,..... Maschinenbau,2007Q1
6550.9,Erwerbsstatus - Total,..... Maschinenbau,2007Q2
6633.1,Erwerbsstatus - Total,..... Maschinenbau,2007Q3
6597.8,Erwerbsstatus - Total,..... Maschinenbau,2007Q4
6662,Erwerbsstatus - Total,..... Maschinenbau,2008Q1
6750.7,Erwerbsstatus - Total,..... Maschinenbau,2008Q2
6758.1,Erwerbsstatus - Total,..... Maschinenbau,2008Q3
6778.4,Erwerbsstatus - Total,..... Maschinenbau,2008Q4
6799.4,Erwerbsstatus - Total,..... Maschinenbau,2009Q1
6863,Erwerbsstatus - Total,..... Maschinenbau,2009Q2
6815.6,Erwerbsstatus - Total,..... Maschinenbau,2009Q3
6668.1,Erwerbsstatus - Total,..... Maschinenbau,2009Q4
6701.2,Erwerbsstatus - Total,..... Maschinenbau,2010Q1
6869.9,Erwerbsstatus - Total,..... Maschinenbau,2010Q2
6914.7,Erwerbsstatus - Total,..... Maschinenbau,2010Q3
6861,Erwerbsstatus - Total,..... Maschinenbau,2010Q4
6973.4,Erwerbsstatus - Total,..... Maschinenbau,2011Q1
7179.7,Erwerbsstatus - Total,..... Maschinenbau,2011Q2
7292.7,Erwerbsstatus - Total,..... Maschinenbau,2011Q3
7293.2,Erwerbsstatus - Total,..... Maschinenbau,2011Q4
7329.1,Erwerbsstatus - Total,..... Maschinenbau,2012Q1
7348,Erwerbsstatus - Total,..... Maschinenbau,2012Q2
7376.3,Erwerbsstatus - Total,..... Maschinenbau,2012Q3
7345.5,Erwerbsstatus - Total,..... Maschinenbau,2012Q4
7300.2,Erwerbsstatus - Total,..... Maschinenbau,2013Q1
7397.8,Erwerbsstatus - Total,..... Maschinenbau,2013Q2
7464.2,Erwerbsstatus - Total,..... Maschinenbau,2013Q3
7471.8,Erwerbsstatus - Total,..... Maschinenbau,2013Q4
7507.8,Erwerbsstatus - Total,..... Maschinenbau,2014Q1
7584.7,Erwerbsstatus - Total,..... Maschinenbau,2014Q2
7637.3,Erwerbsstatus - Total,..... Maschinenbau,2014Q3
7741.3,Erwerbsstatus - Total,..... Maschinenbau,2014Q4
