Wert,Erwerbsstatus,Wirtschaftsabschnitt,Quartal
1303.4,Erwerbsstatus - Total,- Primärsektor,2004Q4
1334.1,Erwerbsstatus - Total,- Primärsektor,2005Q1
1321.7,Erwerbsstatus - Total,- Primärsektor,2005Q2
1290.4,Erwerbsstatus - Total,- Primärsektor,2005Q3
1271.7,Erwerbsstatus - Total,- Primärsektor,2005Q4
1258.2,Erwerbsstatus - Total,- Primärsektor,2006Q1
1330.1,Erwerbsstatus - Total,- Primärsektor,2006Q2
1379.8,Erwerbsstatus - Total,- Primärsektor,2006Q3
1360.8,Erwerbsstatus - Total,- Primärsektor,2006Q4
1388.7,Erwerbsstatus - Total,- Primärsektor,2007Q1
1459.4,Erwerbsstatus - Total,- Primärsektor,2007Q2
1478.4,Erwerbsstatus - Total,- Primärsektor,2007Q3
1430.9,Erwerbsstatus - Total,- Primärsektor,2007Q4
1419.1,Erwerbsstatus - Total,- Primärsektor,2008Q1
1469.5,Erwerbsstatus - Total,- Primärsektor,2008Q2
1462.3,Erwerbsstatus - Total,- Primärsektor,2008Q3
1346,Erwerbsstatus - Total,- Primärsektor,2008Q4
1332.8,Erwerbsstatus - Total,- Primärsektor,2009Q1
1403.5,Erwerbsstatus - Total,- Primärsektor,2009Q2
1395.6,Erwerbsstatus - Total,- Primärsektor,2009Q3
1364.4,Erwerbsstatus - Total,- Primärsektor,2009Q4
1385.9,Erwerbsstatus - Total,- Primärsektor,2010Q1
1446,Erwerbsstatus - Total,- Primärsektor,2010Q2
1439.1,Erwerbsstatus - Total,- Primärsektor,2010Q3
1351.3,Erwerbsstatus - Total,- Primärsektor,2010Q4
1396.4,Erwerbsstatus - Total,- Primärsektor,2011Q1
1516.9,Erwerbsstatus - Total,- Primärsektor,2011Q2
1539.6,Erwerbsstatus - Total,- Primärsektor,2011Q3
1455.6,Erwerbsstatus - Total,- Primärsektor,2011Q4
1504.8,Erwerbsstatus - Total,- Primärsektor,2012Q1
1651,Erwerbsstatus - Total,- Primärsektor,2012Q2
1672.9,Erwerbsstatus - Total,- Primärsektor,2012Q3
1602.1,Erwerbsstatus - Total,- Primärsektor,2012Q4
1601.7,Erwerbsstatus - Total,- Primärsektor,2013Q1
