category,filename,datum_column,source_url,download_url,title
work_income,haeufigkeitsverteilung_voll_und_teilzeitbeschaeftigte_nach_nettolohnhoehenklassen.csv,Wert,https://opendata.swiss/en/dataset/haufigkeitsverteilung-voll-und-teilzeitbeschaftigte-nach-nettolohnhohenklassen,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0304010000_121,Häufigkeitsverteilung Voll- und Teilzeitbeschäftigte nach Nettolohnhöhenklassen
work_income,monatlicher_bruttolohn_schweizerinnen_und_auslaenderinnen.csv,Wert,https://opendata.swiss/en/dataset/monatlicher-bruttolohn-schweizerinnen-und-auslanderinnen,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0304010000_112,Monatlicher Bruttolohn SchweizerInnen und AusländerInnen
work_income,monatlicher_bruttolohn_nach_ausbildung.csv,Wert,https://opendata.swiss/en/dataset/monatlicher-bruttolohn-nach-ausbildung,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0304010000_111,Monatlicher Bruttolohn nach Ausbildung
work_income,monatlicher_bruttolohn_nach_taetigkeit.csv,Wert,https://opendata.swiss/en/dataset/monatlicher-bruttolohn-nach-tatigkeit,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0304010000_101,Monatlicher Bruttolohn nach Tätigkeit
work_income,szenarien_zur_entwicklung_der_erwerbsbevoelkerung_ab_2015_quotient_zwischen_aelteren_personen_65_jaehrige_und_aeltere_und_der_erwerbsbevoelkerung_nach_staatsangehoerigkeit_pro_jahr_und_gemaess_szenario_variante.csv,Wert,https://opendata.swiss/en/dataset/szenarien-zur-entwicklung-der-erwerbsbevolkerung-ab-2015-quotient-zwischen-alteren-personen-65-jahri,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0301000000_103,"Szenarien zur Entwicklung der Erwerbsbevölkerung ab 2015 – Quotient zwischen älteren Personen (65-Jährige und Ältere) und der Erwerbsbevölkerung, nach Staatsangehörigkeit, pro Jahr und gemäss Szenario / Variante"
work_income,szenarien_zur_entwicklung_der_erwerbsbevoelkerung_ab_2015_erwerbsquote_und_erwerbsbevoelkerung_nach_altersklasse_geschlecht_staatsangehoerigkeit_pro_jahr_und_gemaess_szenario_variante.csv,Wert,https://opendata.swiss/en/dataset/szenarien-zur-entwicklung-der-erwerbsbevolkerung-ab-2015-erwerbsquote-und-erwerbsbevolkerung-nach-al,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0301000000_102,"Szenarien zur Entwicklung der Erwerbsbevölkerung ab 2015 – Erwerbsquote und Erwerbsbevölkerung nach Altersklasse, Geschlecht, Staatsangehörigkeit, pro Jahr und gemäss Szenario / Variante"
work_income,szenarien_zur_entwicklung_der_erwerbsbevoelkerung_ab_2015_erwerbsquote_und_erwerbsbevoelkerung_nach_alter_geschlecht_staatsangehoerigkeit_pro_jahr_und_gemaess_szenario_variante.csv,Wert,https://opendata.swiss/en/dataset/px-x-0301000000_101,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0301000000_101,"Szenarien zur Entwicklung der Erwerbsbevölkerung ab 2015 – Erwerbsquote und Erwerbsbevölkerung nach Alter, Geschlecht, Staatsangehörigkeit, pro Jahr und gemäss Szenario / Variante"
population,divorces_by_duration_of_the_marriage_nationality_at_divorce_and_age_class_of_both_of_the_divorcing_partners.csv,Value,https://opendata.swiss/en/dataset/divorces-by-duration-of-the-marriage-nationality-at-divorce-and-age-class-of-both-of-the-divorcing-p,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020203_105,"Divorces by duration of the marriage, nationality (at divorce) and age class of both of the divorcing partners"
population,marriages_by_age_class_nationality_and_marital_status_of_both_of_the_partners_2007_2015.csv,Value,https://opendata.swiss/en/dataset/marriages-by-age-class-nationality-and-marital-status-of-both-of-the-partners-2007-2015,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020202_106,"Marriages by age class, nationality and marital status of both of the partners, 2007-2015"
population,live_births_by_sex_and_birth_order_of_the_child_nationality_and_marital_status_of_the_mother_and_by_age_class_of_the_parents.csv,Value,https://opendata.swiss/en/dataset/live-births-by-sex-and-birth-order-of-the-child-nationality-and-marital-status-of-the-mother-and-by,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020204_103,"Live births by sex and birth order of the child, nationality and marital status of the mother and by age class of the parents"
